case,apply_gate,alpha,beta,beta_label,sigma_red_mean,tau_red_mean,phi_red_mean,cache_key
ASK14 + GRU residual con gate,True,7.0,3.3804,P100,-2.6912043319568473,-3.526426633289002,-2.5409901775878185,ask14_corrected__gate1__alpha_7.0000__beta_3.3804
ASK14 + GRU residual con gate,True,7.5,3.3804,P100,-2.7129053071987403,-3.6616995171366935,-2.5354554565441845,ask14_corrected__gate1__alpha_7.5000__beta_3.3804
ASK14 + GRU residual con gate,True,8.0,3.3804,P100,-2.735062057647388,-3.791486958881433,-2.5315018938435596,ask14_corrected__gate1__alpha_8.0000__beta_3.3804
ASK14 + GRU residual con gate,True,2.5,3.3804,P100,-2.784875419936272,-2.3602334641499474,-2.9115266367330674,ask14_corrected__gate1__alpha_2.5000__beta_3.3804
ASK14 + GRU residual con gate,True,1.5,3.5494,P105,-2.834192434646199,-1.6117960627477905,-3.16294713086203,ask14_corrected__gate1__alpha_1.5000__beta_3.5494
ASK14 + GRU residual con gate,True,2.0,3.3804,P100,-2.9629829871610154,-2.4326458789650243,-3.1104842586382717,ask14_corrected__gate1__alpha_2.0000__beta_3.3804
ASK14 + GRU residual con gate,True,1.0,3.7184,P110,-3.082267980846573,-1.7594243843688944,-3.435194054084819,ask14_corrected__gate1__alpha_1.0000__beta_3.7184
ASK14 + GRU residual con gate,True,1.5,3.3804,P100,-3.282707124984171,-2.729062477989761,-3.4329444010169143,ask14_corrected__gate1__alpha_1.5000__beta_3.3804
ASK14 + GRU residual con gate,True,1.0,3.5494,P105,-3.4323495292074155,-2.56241123715284,-3.666958673303742,ask14_corrected__gate1__alpha_1.0000__beta_3.5494
ASK14 + GRU residual con gate,True,1.0,3.3804,P100,-3.829185729365312,-3.421830566361808,-3.942993954937002,ask14_corrected__gate1__alpha_1.0000__beta_3.3804
ASK14 + GRU residual con gate,True,3.0,2.9785,P99,-4.497168923499785,-7.021785381879567,-3.787263448635008,ask14_corrected__gate1__alpha_3.0000__beta_2.9785
ASK14 + GRU residual con gate,True,2.5,2.9785,P99,-4.503661939551605,-6.494182715938151,-3.9490087671471668,ask14_corrected__gate1__alpha_2.5000__beta_2.9785
ASK14 + GRU residual con gate,True,3.5,2.9785,P99,-4.525909916327617,-7.566126508803358,-3.6662712320198763,ask14_corrected__gate1__alpha_3.5000__beta_2.9785
ASK14 + GRU residual con gate,True,2.0,2.9785,P99,-4.565567878042606,-6.032797167206396,-4.163438615395212,ask14_corrected__gate1__alpha_2.0000__beta_2.9785
ASK14 + GRU residual con gate,True,4.0,2.9785,P99,-4.575061313992536,-8.094070405714547,-3.5764298898820432,ask14_corrected__gate1__alpha_4.0000__beta_2.9785
ASK14 + GRU residual con gate,True,4.5,2.9785,P99,-4.634874387747112,-8.590979278313755,-3.509335532391414,ask14_corrected__gate1__alpha_4.5000__beta_2.9785
ASK14 + GRU residual con gate,True,5.0,2.9785,P99,-4.698636790018892,-9.049113290952777,-3.4584288661500096,ask14_corrected__gate1__alpha_5.0000__beta_2.9785
ASK14 + GRU residual con gate,True,1.5,2.9785,P99,-4.709793806897801,-5.720331046660561,-4.441776872678951,ask14_corrected__gate1__alpha_1.5000__beta_2.9785
ASK14 + GRU residual con gate,True,5.5,2.9785,P99,-4.76318932254218,-9.470299524931118,-3.4191022019161945,ask14_corrected__gate1__alpha_5.5000__beta_2.9785
ASK14 + GRU residual con gate,True,6.0,2.9785,P99,-4.826264528632605,-9.856497271313115,-3.3878551776993815,ask14_corrected__gate1__alpha_6.0000__beta_2.9785
ASK14 + GRU residual con gate,True,6.5,2.9785,P99,-4.88676880616035,-10.211014651453697,-3.3621857671652084,ask14_corrected__gate1__alpha_6.5000__beta_2.9785
ASK14 + GRU residual con gate,True,7.0,2.9785,P99,-4.944637930017411,-10.53864668916363,-3.3405689968683334,ask14_corrected__gate1__alpha_7.0000__beta_2.9785
ASK14 + GRU residual con gate,True,1.0,2.9785,P99,-4.966354351841473,-5.661695460878781,-4.793309032120547,ask14_corrected__gate1__alpha_1.0000__beta_2.9785
ASK14 + GRU residual con gate,True,7.5,2.9785,P99,-4.999426535902347,-10.84286357846368,-3.3214740091829906,ask14_corrected__gate1__alpha_7.5000__beta_2.9785
